changed_files,changed_lines,comments,commits,lifetime,lifetimeType,merged,merged_by
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(7.6-9.5]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',M,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,zerowidth
'\'(4.3-5.4]\'','\'(-inf-92.1]\'','\'(3.8-5.7]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,true,zerowidth
'\'(3.2-4.3]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(3.8-5.7]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,shiftkey
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',M,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(3.8-5.7]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,zerowidth
'\'(2.1-3.2]\'','\'(-inf-92.1]\'','\'(7.6-9.5]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,true,zerowidth
'\'(2.1-3.2]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(5.7-10.4]\'','\'(-inf-1326.7]\'',S,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(3.8-5.7]\'','\'(-inf-5.7]\'','\'(2653.4-3980.1]\'',L,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(5.7-7.6]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,MikeMcQuaid
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(3.8-5.7]\'','\'(-inf-5.7]\'','\'(2653.4-3980.1]\'',L,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(1326.7-2653.4]\'',L,true,zerowidth
'\'(2.1-3.2]\'','\'(-inf-92.1]\'','\'(9.5-11.4]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',S,true,jbarnette
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',S,true,jbarnette
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,zerowidth
'\'(2.1-3.2]\'','\'(-inf-92.1]\'','\'(5.7-7.6]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',M,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(3.8-5.7]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',M,true,jbarnette
'\'(2.1-3.2]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,true,jbarnette
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,true,jbarnette
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(2653.4-3980.1]\'',L,true,jbarnette
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',S,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(13.3-15.2]\'','\'(-inf-5.7]\'','\'(5306.8-6633.5]\'',L,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,jbarnette
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,jbarnette
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,true,jbarnette
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(3.8-5.7]\'','\'(-inf-5.7]\'','\'(5306.8-6633.5]\'',L,true,jesseplusplus
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(17.1-inf)\'','\'(-inf-5.7]\'','\'(2653.4-3980.1]\'',L,true,jesseplusplus
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(6633.5-7960.2]\'',L,true,jbarnette
'\'(3.2-4.3]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,true,jbarnette
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(13.3-15.2]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,true,jbarnette
'\'(3.2-4.3]\'','\'(-inf-92.1]\'','\'(7.6-9.5]\'','\'(-inf-5.7]\'','\'(11940.3-inf)\'',L,false,?
'\'(4.3-5.4]\'','\'(-inf-92.1]\'','\'(7.6-9.5]\'','\'(-inf-5.7]\'','\'(11940.3-inf)\'',L,true,jbarnette
'\'(3.2-4.3]\'','\'(-inf-92.1]\'','\'(11.4-13.3]\'','\'(5.7-10.4]\'','\'(-inf-1326.7]\'',L,true,jesseplusplus
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,jbarnette
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,jbarnette
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,true,jbarnette
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,false,?
'\'(2.1-3.2]\'','\'(-inf-92.1]\'','\'(5.7-7.6]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(5.7-7.6]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,true,jbarnette
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(3.8-5.7]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',L,true,jbarnette
'\'(-inf-2.1]\'','\'(92.1-183.2]\'','\'(5.7-7.6]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,zerowidth
'\'(2.1-3.2]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(3.8-5.7]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,false,?
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',M,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,zerowidth
'\'(2.1-3.2]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',M,true,zerowidth
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(1.9-3.8]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',VS,true,jesseplusplus
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(3.8-5.7]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',M,true,jesseplusplus
'\'(5.4-6.5]\'','\'(-inf-92.1]\'','\'(5.7-7.6]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',M,true,jesseplusplus
'\'(-inf-2.1]\'','\'(-inf-92.1]\'','\'(-inf-1.9]\'','\'(-inf-5.7]\'','\'(-inf-1326.7]\'',S,true,jesseplusplus
'\'(9.8-10.9]\'','\'(183.2-274.3]\'','\'(1.9-3.8]\'','\'(5.7-10.4]\'','\'(-inf-1326.7]\'',S,true,zerowidth
'\'(10.9-inf)\'','\'(820.9-inf)\'','\'(7.6-9.5]\'','\'(43.3-inf)\'','\'(-inf-1326.7]\'',L,true,zerowidth
'\'(7.6-8.7]\'','\'(183.2-274.3]\'','\'(-inf-1.9]\'','\'(5.7-10.4]\'','\'(-inf-1326.7]\'',VS,true,jbarnette
'\'(10.9-inf)\'','\'(365.4-456.5]\'','\'(9.5-11.4]\'','\'(5.7-10.4]\'','\'(-inf-1326.7]\'',M,true,jbarnette
